Key,Name,Course,Course Lenght,Length(Weeks),Min,Max, AM Tuition fee (Offshore), AM Tuition fee (Onshore), PM Tuition fee (Offshore), PM Tuition fee (Onshore), Enrolment Fee, Material Fee,Mat Week frecuency, Max week Mat, Morning Timetable,Afternoon Timetable,Night Timetable,Amenities,City,Address,Close to,Id,Lat,Long
ELSIS - Melbourne,ELSIS,IELTS Preparatory,10,All,1,52, $ 220.00 , $ 220.00 , $ 185.00 , $ 185.00 , $ 200.00 , $ 10.00 ,1,,   Lun - Vie 8:15am - 12:30pm,   Lun - Vie 5:10pm - 9:30pm,,"Cocina, Sala de reuniones, Aire acondicionado, Salones modernos",Melbourne,"Level 7, 399 Lonsdale street, Melbourne","Jardines de Flagstaff, Estacion de tren de Flagstaff, CEntro comercial Emporium, Myer, Libreria del Estado de Victoria, Iglesia de San Francis",10,-37.8130231,144.9606243
ELSIS - Melbourne,ELSIS,Academic,10,All,1,52, $ 220.00 , $ 220.00 , $ 185.00 , $ 185.00 , $ 200.00 , $ 10.00 ,1,,   Lun - Vie 8:15am - 12:30pm,   Lun - Vie 5:10pm - 9:30pm,,"Cocina, Sala de reuniones, Aire acondicionado, Salones modernos",Melbourne,"Level 7, 399 Lonsdale street, Melbourne","Jardines de Flagstaff, Estacion de tren de Flagstaff, CEntro comercial Emporium, Myer, Libreria del Estado de Victoria, Iglesia de San Francis",10,-37.8130231,144.9606243
ELSIS - Sydney,ELSIS,General English,52,All,1,52, $ 250.00 , $ 250.00 , $ 220.00 , $ 220.00 , $ 200.00 , $ 10.00 ,1,,   Lun - Vie 8:15am - 12:30pm,   Lun - Vie 5:10pm - 9:30pm,,"Cocina, Sala de reuniones, Aire acondicionado, Salones modernos",Sydney,"Level 2/545 Kent St, Sydney","Acuario de Sydney, Edificio de Queen Victoria, Museo Maritimo de Australia, Sydney Town Hall, Darling Harbour",11,-33.8759786,151.2052225
ELSIS - Sydney,ELSIS,IELTS Preparatory,10,All,1,52, $ 250.00 , $ 250.00 , $ 220.00 , $ 220.00 , $ 200.00 , $ 10.00 ,1,,   Lun - Vie 8:15am - 12:30pm,   Lun - Vie 5:10pm - 9:30pm,,"Cocina, Sala de reuniones, Aire acondicionado, Salones modernos",Sydney,"Level 2/545 Kent St, Sydney","Acuario de Sydney, Edificio de Queen Victoria, Museo Maritimo de Australia, Sydney Town Hall, Darling Harbour",11,-33.8759786,151.2052225
ELSIS - Sydney,ELSIS,Academic,10,All,1,52, $ 250.00 , $ 250.00 , $ 220.00 , $ 220.00 , $ 200.00 , $ 10.00 ,1,,   Lun - Vie 8:15am - 12:30pm,   Lun - Vie 5:10pm - 9:30pm,,"Cocina, Sala de reuniones, Aire acondicionado, Salones modernos",Sydney,"Level 2/545 Kent St, Sydney","Acuario de Sydney, Edificio de Queen Victoria, Museo Maritimo de Australia, Sydney Town Hall, Darling Harbour",11,-33.8759786,151.2052225
ELSIS - Brisbane,ELSIS,General English,52,All,1,52, $ 210.00 , $ 210.00 , $ 185.00 , $ 185.00 , $ 200.00 , $ 10.00 ,1,,   Lun - Vie 8:15am - 12:30pm,   Lun - Vie 5:10pm - 9:30pm,,"Cocina, Sala de reuniones, Aire acondicionado, Salones modernos",Brisbane,"1/126 Margaret St, Brisbane City","Jardines botanicos de Brisbane, El Centro Myer, Estacion de tren Central, Galeria de Arte Moderno, La rueda de Brisbane",12,-27.4728403,153.0275664
ELSIS - Brisbane,ELSIS,IELTS Preparatory,10,All,1,52, $ 210.00 , $ 210.00 , $ 185.00 , $ 185.00 , $ 200.00 , $ 10.00 ,1,,   Lun - Vie 8:15am - 12:30pm,   Lun - Vie 5:10pm - 9:30pm,,"Cocina, Sala de reuniones, Aire acondicionado, Salones modernos",Brisbane,"1/126 Margaret St, Brisbane City","Jardines botanicos de Brisbane, El Centro Myer, Estacion de tren Central, Galeria de Arte Moderno, La rueda de Brisbane",12,-27.4728403,153.0275664
ELSIS - Brisbane,ELSIS,Academic,10,All,1,52, $ 210.00 , $ 210.00 , $ 185.00 , $ 185.00 , $ 200.00 , $ 10.00 ,1,,   Lun - Vie 8:15am - 12:30pm,   Lun - Vie 5:10pm - 9:30pm,,"Cocina, Sala de reuniones, Aire acondicionado, Salones modernos",Brisbane,"1/126 Margaret St, Brisbane City","Jardines botanicos de Brisbane, El Centro Myer, Estacion de tren Central, Galeria de Arte Moderno, La rueda de Brisbane",12,-27.4728403,153.0275664
Lyceum english Language - Melbourne,Lyceum english Language,General English,52,1-12 weeks,1,12, $ 250.00 , $ 200.00 ,,, $ 200.00 , $ 50.00 ,10,,   Lun - Vie 8:30am - 12:45pm,,,"Salones declase modernos, Salon de descanso, Cocina moderna, Sala de computacion con recursos de estudio, Aire acondicionado, Internet gratis",Melbourne,"131 Queen St, Melbourne","Estacion de tren de Flinders street, Acuario de Melbourne, Centro comercial de Emporium, Myer, Bourke street Mall",13,-37.8155047,144.9606243
Lyceum english Language - Melbourne,Lyceum english Language,General English,52,13-23 weeks,13,23, $ 240.00 , $ 180.00 ,,, $ 200.00 , $ 50.00 ,10,,   Lun - Vie 8:30am - 12:45pm,,,"Salones declase modernos, Salon de descanso, Cocina moderna, Sala de computacion con recursos de estudio, Aire acondicionado, Internet gratis",Melbourne,"131 Queen St, Melbourne","Estacion de tren de Flinders street, Acuario de Melbourne, Centro comercial de Emporium, Myer, Bourke street Mall",13,-37.8155047,144.9606243
