Key,Name,Course,Course Lenght,Length(Weeks),Min,Max, AM Tuition fee (Offshore), AM Tuition fee (Onshore), PM Tuition fee (Offshore), PM Tuition fee (Onshore), Enrolment Fee, Material Fee,Mat Week frecuency, Max week Mat, Morning Timetable,Afternoon Timetable,Night Timetable,Amenities,City,Address,Close to,Id,Lat,Long
Smeag English - Melbourne,Smeag English,General English,52,All,1,52, $ 200.00 , $ 200.00 , $ 175.00 , $ 175.00 , $ 200.00 , $ 80.00 ,10,,,   Lun - Vie 5:00pm - 9:15pm,,"Sala de computacion, Salones modernos, Sala de descanso, Cocina moderna, Internet gratis, Sala de juegos, Libreria moderna, ",Melbourne,"Level 4&5, 310 King Street, Melbourne","Jardines de Flagstaff, Estacion de tren de Flagstaff, Queen Victoria Market, Libreria del Estado de Victoria, Iglesia de San Francis, Museo Hellenico",24,-37.8128184,144.954365
CCEB - Cairns,CCEB,General English,52,1-23 weeks,1,23, $ 240.00 , $ 240.00 ,,, $ 250.00 , $ 100.00 ,10,,Lun- Fri 9:00am - 2:30pm,,,"Cafeteria, Salones modernos, Salon de descanso, Internet gratis",Cairns,"27 Aplin St, Cairns City","Centro de convenciones de Cairns, Laguna de Cairns, Parque de Munra Martin, Iglesia Bautista de Cairns",25,-16.921994,145.7727647
CCEB - Cairns,CCEB,General English,52,24+ weeks,24,52, $ 205.00 , $ 205.00 ,,, $ 250.00 , $ 100.00 ,10,,Lun- Fri 9:00am - 2:30pm,,,"Cafeteria, Salones modernos, Salon de descanso, Internet gratis",Cairns,"27 Aplin St, Cairns City","Centro de convenciones de Cairns, Laguna de Cairns, Parque de Munra Martin, Iglesia Bautista de Cairns",25,-16.921994,145.7727647
CCEB - Cairns,CCEB,IELTS Preparatory,0,1-23 weeks,1,23, $ 240.00 , $ 240.00 ,,, $ 250.00 , $ 100.00 ,10,,Lun- Fri 9:00am - 2:30pm,,,"Cafeteria, Salones modernos, Salon de descanso, Internet gratis",Cairns,"27 Aplin St, Cairns City","Centro de convenciones de Cairns, Laguna de Cairns, Parque de Munra Martin, Iglesia Bautista de Cairns",25,-16.921994,145.7727647
CCEB - Cairns,CCEB,IELTS Preparatory,0,24+ weeks,24,52, $ 205.00 , $ 205.00 ,,, $ 250.00 , $ 100.00 ,10,,Lun- Fri 9:00am - 2:30pm,,,"Cafeteria, Salones modernos, Salon de descanso, Internet gratis",Cairns,"27 Aplin St, Cairns City","Centro de convenciones de Cairns, Laguna de Cairns, Parque de Munra Martin, Iglesia Bautista de Cairns",25,-16.921994,145.7727647
Holmes-OHC - Cairns,Holmes-OHC,General English,52,1-12 weeks,1,12, $ 256.00 , $ 256.00 ,,, $ 250.00 , $ 10.00 ,1,, Lun - Fri 9:00am - 1:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Cairns,"18 Lake St, Cairns City","Centro de convenciones de Cairns, Laguna de Cairns, Parque de Munra Martin, Iglesia Bautista de Cairns",26,-16.9247722,145.7785927
Holmes-OHC - Cairns,Holmes-OHC,General English,52,13+,13,52, $ 232.00 , $ 232.00 ,,, $ 250.00 , $ 10.00 ,1,, Lun - Fri 9:00am - 1:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Cairns,"18 Lake St, Cairns City","Centro de convenciones de Cairns, Laguna de Cairns, Parque de Munra Martin, Iglesia Bautista de Cairns",26,-16.9247722,145.7785927
Imagine - Gold Coast,Imagine,General English,52,All,1,52, $ 190.00 , $ 190.00 , $ 150.00 , $ 150.00 , $ 250.00 , $ 75.00 ,10,, Lun - Fri 9:00am - 1:30pm,Mon - Fri 1:30 - 5:45pm,,"Salones modernos, Sala de computacion, Internet gratis, Sala de descanso, Cocina moderna, Jardin de recreacion",Gold Coast,"13 Benowa Rd, Southport","Isla Macintosh, Isla Chevron, Surfaise Paradaise",27,-27.9846444,153.4084565
Imagine - Gold Coast,Imagine,IELTS Preparatory,0,All,1,52, $ 200.00 , $ 200.00 , $ 200.00 , $ 200.00 , $ 250.00 , $ 175.00 ,10,, Lun - Fri 9:00am - 1:30pm,Mon - Fri 1:30 - 5:45pm,,"Salones modernos, Sala de computacion, Internet gratis, Sala de descanso, Cocina moderna, Jardin de recreacion",Gold Coast,"13 Benowa Rd, Southport","Isla Macintosh, Isla Chevron, Surfaise Paradaise",27,-27.9846444,153.4084565
Holmes-OHC - Gold Coast,Holmes-OHC,General English,52,1-12 weeks,1,12, $ 256.00 , $ 256.00 ,,, $ 250.00 , $ 10.00 ,1,, Lun - Fri 9:00am - 1:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Gold Coast,"Circle on Cavill South Tower, 2/3184 Surfers Paradise Blvd, Surfers Paradise","Parque Lionel Perry, Torre de observacion Skypoint, Rio Nerang, Parque memorial Jhon Fraser",28,-28.0012026,153.4277335
Holmes-OHC - Gold Coast,Holmes-OHC,General English,52,13+,13,52, $ 232.00 , $ 232.00 ,,, $ 250.00 , $ 10.00 ,1,, Lun - Fri 9:00am - 1:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Gold Coast,"Circle on Cavill South Tower, 2/3184 Surfers Paradise Blvd, Surfers Paradise","Parque Lionel Perry, Torre de observacion Skypoint, Rio Nerang, Parque memorial Jhon Fraser",28,-28.0012026,153.4277335
Kaplan - Perth,Kaplan,General English,52,All,1,52, $ 255.00 , $ 255.00 , $ 230.00 , $ 230.00 , $ 250.00 , $ 15.00 ,1,, Lun - Fri 8:30am - 3:45pm,Lun - Fri 5:00pm - 9:30pm,,"Salones de clase modernos, Salon de descanso, Salon de estudio con recursos, Salon de recreacion y deporte, Internet gratis, Gimnasio",Perth,"1325 Hay St, Perth","Estacion de tren City West, Jardines Botanicos, Centro de Exibicion y convenciones, Scientech, Departamento de transporte, El Viejo Observatorio",29,-31.9478175,115.8381741
International House - Sydney,International House,General English,52,All,1,52, $ 270.00 , $ 270.00 , $ 270.00 , $ 270.00 , $ 240.00 , $ 15.00 ,1,, Lun - Fri 8:00am - 1:15pm,Lun - Fri 12:30pm - 4:45pm,Lun - Fri 5:00pm - 09:15pm,"Salones modernos, Internet gratis, Salon de conferencias con proyectores, Fotocopiadoes e impresoras, Sala de computacion, Libreria, Cocina moderna, Sala de descanso",Sydney,"Level 1, 203 Clarence St, Sydney","Acuario de Sydney, Edificio de Queen Victoria, Museo Maritimo de Australia, Sydney Town Hall, Darling Harbour",30,-33.8697461,151.2051313
Greenwich - Sydney,Greenwich,General English,52,1-12 weeks,1,12, $ 250.00 , $ 250.00 , $ 235.00 , $ 235.00 , $ 220.00 , $ 60.00 ,8,, Lun - Fri 9:00am - 3:00pm,Lun - Fri 4:30pm - 9:00pm,,"Salones modernos, Internet gratis, Fotocopiadora e impresoras, Sala de computacion, Cocinas modernas, Aire acondicionado, Acceso a silla de ruedas, ",Sydney,"2/396 Pitt St, Sydney","Parque Hyde, Museo de Australia, Darling Harbour, Estacion central de Sydney, Sydney Town Hall, Parque Belmore",31,-33.8782978,151.2075577
Greenwich - Sydney,Greenwich,General English,52,13+ weeks,13,52, $ 239.58 , $ 239.58 , $ 235.00 , $ 235.00 , $ 220.00 , $ 60.00 ,8,, Lun - Fri 9:00am - 3:00pm,Lun - Fri 4:30pm - 9:00pm,,"Salones modernos, Internet gratis, Fotocopiadora e impresoras, Sala de computacion, Cocinas modernas, Aire acondicionado, Acceso a silla de ruedas, ",Sydney,"2/396 Pitt St, Sydney","Parque Hyde, Museo de Australia, Darling Harbour, Estacion central de Sydney, Sydney Town Hall, Parque Belmore",31,-33.8782978,151.2075577
Greenwich - Sydney,Greenwich,IELTS Preparatory,0,1-12 weeks,1,12, $ 250.00 , $ 250.00 , $ 235.00 , $ 235.00 , $ 220.00 , $ 60.00 ,8,, Lun - Fri 9:00am - 3:00pm,Lun - Fri 4:30pm - 9:00pm,,"Salones modernos, Internet gratis, Fotocopiadora e impresoras, Sala de computacion, Cocinas modernas, Aire acondicionado, Acceso a silla de ruedas, ",Sydney,"2/396 Pitt St, Sydney","Parque Hyde, Museo de Australia, Darling Harbour, Estacion central de Sydney, Sydney Town Hall, Parque Belmore",31,-33.8782978,151.2075577
Greenwich - Sydney,Greenwich,IELTS Preparatory,0,13+ weeks,13,52, $ 239.58 , $ 239.58 , $ 235.00 , $ 235.00 , $ 220.00 , $ 60.00 ,8,, Lun - Fri 9:00am - 3:00pm,Lun - Fri 4:30pm - 9:00pm,,"Salones modernos, Internet gratis, Fotocopiadora e impresoras, Sala de computacion, Cocinas modernas, Aire acondicionado, Acceso a silla de ruedas, ",Sydney,"2/396 Pitt St, Sydney","Parque Hyde, Museo de Australia, Darling Harbour, Estacion central de Sydney, Sydney Town Hall, Parque Belmore",31,-33.8782978,151.2075577
ILSC - Sydney,ILSC,General English,52,1-12 weeks,1,12, $ 390.00 , $ 390.00 , $ 320.00 , $ 320.00 , $ 230.00 , $ 80.00 ,10,, Lun - Fri 8:30am - 1:00pm,Lun - Fri 1:15pm - 5:15pm,Lun - Fri 5:30pm - 9:30pm,"Salones modernos, Sala de computacion, Internet gratis, Sala de descanso, Cocina moderna, Libreria, Mesa de Ping Pong, Salon de Oracion",Sydney,"6/532-540 George St, Sydney","Parque Hyde, Museo de Australia, Darling Harbour, Estacion central de Sydney, Sydney Town Hall, Parque Belmore",32,-33.8733328,151.2073828
ILSC - Sydney,ILSC,General English,52,13+ weeks,13,52, $ 350.00 , $ 350.00 , $ 320.00 , $ 320.00 , $ 230.00 , $ 80.00 ,10,, Lun - Fri 8:30am - 1:00pm,Lun - Fri 1:15pm - 5:15pm,Lun - Fri 5:30pm - 9:30pm,"Salones modernos, Sala de computacion, Internet gratis, Sala de descanso, Cocina moderna, Libreria, Mesa de Ping Pong, Salon de Oracion",Sydney,"6/532-540 George St, Sydney","Parque Hyde, Museo de Australia, Darling Harbour, Estacion central de Sydney, Sydney Town Hall, Parque Belmore",32,-33.8733328,151.2073828
ILSC - Brisbane,ILSC,General English,52,1-12 weeks,1,12, $ 370.00 , $ 370.00 , $ 310.00 , $ 310.00 , $ 230.00 , $ 80.00 ,10,, Lun - Fri 8:30am - 1:00pm,Lun - Fri 1:15pm - 5:15pm,Lun - Fri 5:30pm - 9:30pm,"Salones modernos, Sala de computacion, Internet gratis, Sala de descanso, Cocina moderna, Libreria, Mesa de Ping Pong, Salon de Oracion",Brisbane,"1/232 Adelaide St, Brisbane City","Estacion Central,  Jardines Botanicos de Brisbane, Myer Centre, Brisbane City Hall, Hospital privado de Brisbane",33,-27.4664747,153.0272214
ILSC - Brisbane,ILSC,General English,52,13+ weeks,13,52, $ 330.00 , $ 330.00 , $ 310.00 , $ 310.00 , $ 230.00 , $ 80.00 ,10,, Lun - Fri 8:30am - 1:00pm,Lun - Fri 1:15pm - 5:15pm,Lun - Fri 5:30pm - 9:30pm,"Salones modernos, Sala de computacion, Internet gratis, Sala de descanso, Cocina moderna, Libreria, Mesa de Ping Pong, Salon de Oracion",Brisbane,"1/232 Adelaide St, Brisbane City","Parque Hyde, Museo de Australia, Darling Harbour, Estacion central de Sydney, Sydney Town Hall, Parque Belmore",33,-27.4664747,153.0272214
Kaplan - Sydney,Kaplan,General English,52,All,1,52, $ 260.00 , $ 260.00 , $ 230.00 , $ 230.00 , $ 250.00 , $ 15.00 ,1,, Lun - Fri 8:30am - 3:45pm,Lun - Fri 5:00pm - 9:30pm,,"Salones de clase modernos, Salon de descanso, Salon de estudio con recursos, Salon de recreacion y deporte, Internet gratis, Gimnasio",Sydney,"98-104 Goulburn St, Sydney","ANZAC Jardin Memorial, Paque Belmore, Centro Comercial World Square, Estacion Central de Sydney, Museo de Australia, ",34,-33.8782647,151.2099292
Impact English College - Brisbane,Impact English College,General English,52,All,1,52, $ 250.00 , $ 250.00 , $ 250.00 , $ 250.00 , $ 200.00 , $ 60.00 ,10,,   Lun - Vie 8:50am - 1:15pm,   Lun - Vie 1:20pm - 5:45pm,,"Sala de computacion, Cafeteria en el campo, Libreria, Sala de descanso, Cocina moderna, Salones de actividades, Internet gratis",Brisbane,"1/110 Eagle St, Brisbane City","Catedral de St Stephen, Jardines Botanicos, Waterfront, Ferries de Brisbane, Parque del Capitan Burke, Catedral de St John",35,-27.4662808,153.0300829
Imagine - Brisbane,Imagine,General English,52,All,1,52, $ 190.00 , $ 190.00 , $ 150.00 , $ 150.00 , $ 150.00 , $ 75.00 ,10,, Lun - Fri 9:00 - 1:30pm,Lun - Fri 1:30pm - 5:45pm,Lun - Fri 4:30pm - 9:00pm,"Salones modernos, Sala de computacion, Internet gratis, Sala de descanso, Cocina moderna, Jardin de recreacion",Brisbane,"170 Leichhardt St, Spring Hill","Catedral de St John, Parque Roma, Parque Wickham, Parque Edward Park, Estacion Central, Universidad de James Cook, Estacion de Roma Street",36,-27.4617834,153.026129
Imagine - Brisbane,Imagine,IELTS Preparatory,0,All,1,52, $ 200.00 , $ 200.00 , $ 200.00 , $ 200.00 , $ 200.00 , $ 75.00 ,10,, Lun - Fri 9:00 - 1:30pm,Lun - Fri 1:30pm - 5:45pm,Lun - Fri 4:30pm - 9:00pm,"Salones modernos, Sala de computacion, Internet gratis, Sala de descanso, Cocina moderna, Jardin de recreacion",Brisbane,"170 Leichhardt St, Spring Hill","Catedral de St John, Parque Roma, Parque Wickham, Parque Edward Park, Estacion Central, Universidad de James Cook, Estacion de Roma Street",36,-27.4617834,153.026129
